Subject Area Name,Subject Acronym,Class Number,Class Name
Aerospace Studies,AERO ST ,A,Leadership Laboratory
Aerospace Studies,AERO ST ,1A,Heritage and Values
Aerospace Studies,AERO ST ,1B,Heritage and Values
Aerospace Studies,AERO ST ,1C,Heritage and Values
Aerospace Studies,AERO ST ,19,Fiat Lux Freshman Seminars
Aerospace Studies,AERO ST ,20A,Team and Leadership Fundamentals
Aerospace Studies,AERO ST ,20B,Team and Leadership Fundamentals
Aerospace Studies,AERO ST ,20C,Team and Leadership Fundamentals
Aerospace Studies,AERO ST ,130A,Air Force Leadership Studies
Aerospace Studies,AERO ST ,130B,Air Force Leadership Studies
Aerospace Studies,AERO ST ,130C,Air Force Leadership Studies
Aerospace Studies,AERO ST ,140A,National Security Affairs/Preparation for Active Duty
Aerospace Studies,AERO ST ,140B,National Security Affairs/Preparation for Active Duty
Aerospace Studies,AERO ST ,140C,National Security Affairs/Preparation for Active Duty
Aerospace Studies,AERO ST ,197,Individual Studies in Aerospace Studies
Archaeology,ARCHEOL ,19,Fiat Lux Freshman Seminars
Archaeology,ARCHEOL ,30,Science in Archaeology
Archaeology,ARCHEOL ,89,Honors Seminars
Archaeology,ARCHEOL ,89HC,Honors Contracts
Archaeology,ARCHEOL ,99,Student Research Program
Archaeology,ARCHEOL ,C110,Archaeological Materials Identification and Characterization  
Archaeology,ARCHEOL ,M112,Archaeology and Art of Christian and Islamic Egypt
Archaeology,ARCHEOL ,C120,Special Topics in Archaeology
Archaeology,ARCHEOL ,C159,Fieldwork in Archaeology
Archaeology,ARCHEOL ,C180,"Ancient and Historic Metals: Corrosion, Technology, and Microstructure"
Archaeology,ARCHEOL ,189,Advanced Honors Seminars
Archaeology,ARCHEOL ,189HC,Honors Contracts
Archaeology,ARCHEOL ,M201A,Graduate Core Seminar: Archaeology
Archaeology,ARCHEOL ,M201B,Graduate Core Seminar: Archaeology
Archaeology,ARCHEOL ,M201C,Archaeological Research Design
Archaeology,ARCHEOL ,M205A,Selected Laboratory Topics in Archaeology
Archaeology,ARCHEOL ,205B,Intensive Laboratory Training in Archaeology
Archaeology,ARCHEOL ,C210,Archaeological Materials Identification and Characterization  
Archaeology,ARCHEOL ,C220,Special Topics in Archaeology
Archaeology,ARCHEOL ,C259,Fieldwork in Archaeology
Archaeology,ARCHEOL ,M265,Depositional History and Stratigraphic Analysis
Archaeology,ARCHEOL ,C280,"Ancient and Historic Metals: Corrosion, Technology and Microstructure"
Archaeology,ARCHEOL ,375,Teaching Apprentice Practicum
Archaeology,ARCHEOL ,501,Cooperative Program  
Archaeology,ARCHEOL ,596,Individual Studies for Graduate Students  
Archaeology,ARCHEOL ,597,Preparation for PhD Qualifying Examination
Archaeology,ARCHEOL ,598,MA Paper Preparation
Archaeology,ARCHEOL ,599,PhD Dissertation Research and Preparation
African American Studies,AF AMER ,1,Introduction to Black Studies
African American Studies,AF AMER ,M5,Social Organization of Black Communities
African American Studies,AF AMER ,6,Trends in Black Intellectual Thought
African American Studies,AF AMER ,M7A,Elementary Yoruba
African American Studies,AF AMER ,M7B,Elementary Yoruba
African American Studies,AF AMER ,M7C,Elementary Yoruba
African American Studies,AF AMER ,M9A,Elementary Amharic
African American Studies,AF AMER ,M9B,Elementary Amharic
African American Studies,AF AMER ,M9C,Elementary Amharic
African American Studies,AF AMER ,M10A,History of Africa to 1800
African American Studies,AF AMER ,M12A,African American Musical Heritage
African American Studies,AF AMER ,M12B,African American Musical Heritage
African American Studies,AF AMER ,M18,Leadership and Student-Initiated Retention
African American Studies,AF AMER ,19,Fiat Lux Freshman Seminars
African American Studies,AF AMER ,89,Honors Seminars
African American Studies,AF AMER ,89HC,Honors Contracts
African American Studies,AF AMER ,99,Student Research Program
African American Studies,AF AMER ,M102,"Culture, Media, and Los Angeles"
African American Studies,AF AMER ,M103A,African American Theater History: Slavery to Mid-1800s
African American Studies,AF AMER ,M103B,African American Theater History: Minstrel Stage to Rise of American Musical
African American Studies,AF AMER ,M103E,Modern African American Drama: Harlem Renaissance to Black Arts Movement
African American Studies,AF AMER ,M103J,Contemporary Black Theater: Modern Civil Rights Era to Black Lives Matter and Beyond
African American Studies,AF AMER ,M104A,Early African American Literature
African American Studies,AF AMER ,M104B,African American Literature from Harlem Renaissance to 1960s
African American Studies,AF AMER ,M104C,African American Literature of 1960s and 1970s
African American Studies,AF AMER ,M104D,Contemporary African American Literature
African American Studies,AF AMER ,M104E,Topics in African American Literature and Culture
African American Studies,AF AMER ,105A,Ideology and Black Consciousness
African American Studies,AF AMER ,105B,Issues in Pan-African Biography and Autobiography
African American Studies,AF AMER ,106A,Africa and World
African American Studies,AF AMER ,M107,Cultural History of Rap
African American Studies,AF AMER ,108,Jazz and Political Imagination
African American Studies,AF AMER ,M109,Women in Jazz
African American Studies,AF AMER ,110A,"Race, Science, and Society"
African American Studies,AF AMER ,M111,Ellingtonia
African American Studies,AF AMER ,112A,"Sunken Place: Racism, Survival, and Black Horror Aesthetic"
African American Studies,AF AMER ,112B,Aboard Mothership: Introduction to Afrofuturism
African American Studies,AF AMER ,CM113,"Narratives of Justice: Disrupting School-to-Prison Pipeline--Arts, Activism, and Agency"
African American Studies,AF AMER ,CM113B,Legislative Theater for Race and Gender Justice
African American Studies,AF AMER ,M114C,African American Political Thought
African American Studies,AF AMER ,M118,Student-Initiated Retention and Outreach Issues in Higher Education
African American Studies,AF AMER ,M120,"Race, Inequality, and Public Policy"
African American Studies,AF AMER ,M121,Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty
African American Studies,AF AMER ,M124,Comparative Racialization and Indigeneity
African American Studies,AF AMER ,CM135A,African American Art before 1900
African American Studies,AF AMER ,CM135B,"African American Art, 1900 to 1963"
African American Studies,AF AMER ,140,"Radical Black Imaginaries: Politics, Identity, and Struggle"
African American Studies,AF AMER ,M141,African American Women's History
African American Studies,AF AMER ,M142,"Race, Gender, and Punishment"
African American Studies,AF AMER ,M144,Ethnic Politics: African American Politics
African American Studies,AF AMER ,M148,"Politics of Struggle: Race, Solidarity, and Resistance"
African American Studies,AF AMER ,M150D,Recent African American Urban History: Funk Music and Politics of Black Popular Culture
African American Studies,AF AMER ,M154C,Black Experience in Latin America and Caribbean I
African American Studies,AF AMER ,M154D,Black Experience in Latin America and Caribbean II
African American Studies,AF AMER ,M158A,Comparative Slavery Systems
African American Studies,AF AMER ,M158B,Introduction to Afro-American History
African American Studies,AF AMER ,M158C,Introduction to Afro-American History
African American Studies,AF AMER ,M158E,African American Nationalism in First Half of 20th Century
African American Studies,AF AMER ,M159P,Constructing Race
African American Studies,AF AMER ,M164,Afro-American Experience in U.S.
African American Studies,AF AMER ,M165,Sociology of Race and Labor
African American Studies,AF AMER ,M167,Worker Center Movement: Next Wave Organizing for Justice for Immigrant Workers
African American Studies,AF AMER ,M170A,Diasporic Nonfiction: Media Engagements with Memory and Displacement I
African American Studies,AF AMER ,M170B,Diasporic Nonfiction: Media Engagements with Memory and Displacement II
African American Studies,AF AMER ,M172,Afro-American Woman in U.S.
African American Studies,AF AMER ,M173,Nonviolence and Social Movements
African American Studies,AF AMER ,174,Intraracial Differences in 20th-Century Black America
African American Studies,AF AMER ,175,Racial and Ethnic Disparities in Healthcare
African American Studies,AF AMER ,176,"Race, Racism, and Law"
African American Studies,AF AMER ,177,African Americans in Higher Education
African American Studies,AF AMER ,M178,Sociology of Caribbean
African American Studies,AF AMER ,M179A,Topics in African American Literature
African American Studies,AF AMER ,184A,"Research in Black Life, Institutions, and Culture"
African American Studies,AF AMER ,184B,"Research in Black Life, Institutions, and Culture II"
African American Studies,AF AMER ,188A,Special Courses in African American Studies
African American Studies,AF AMER ,188B,Race and Public Policy
African American Studies,AF AMER ,188SA,Individual Studies for USIE Facilitators
African American Studies,AF AMER ,188SB,Individual Studies for USIE Facilitators
African American Studies,AF AMER ,188SC,Individual Studies for USIE Facilitators
African American Studies,AF AMER ,189,Advanced Honors Seminars
African American Studies,AF AMER ,189HC,Honors Contracts
African American Studies,AF AMER ,C191,Variable Topics Research Seminars: Afro-American Studies
African American Studies,AF AMER ,M194A,"Language, Literacy, and Human Development Research Group Seminars"
African American Studies,AF AMER ,M194B,"Culture, Gender, and Human Development Research Group Seminars"
African American Studies,AF AMER ,M194C,"Culture, Communications, and Human Development Research Group Seminars"
African American Studies,AF AMER ,195,Community or Corporate Internships in Afro-American Studies
African American Studies,AF AMER ,M195CE,Comparative Approaches to Community and Corporate Internships
African American Studies,AF AMER ,196,Research Apprenticeship in Afro-American Studies
African American Studies,AF AMER ,197,Individual Studies in Afro-American Studies
African American Studies,AF AMER ,198,Honors Research in Afro-American Studies
African American Studies,AF AMER ,199,Directed Research or Senior Project in Afro-American Studies
African American Studies,AF AMER ,M200A,Advanced Historiography: African American
African American Studies,AF AMER ,M200B,Political Economy of Race
African American Studies,AF AMER ,M200C,Black Families and Relationships
African American Studies,AF AMER ,200D,African American Women's History
African American Studies,AF AMER ,M200E,Studies in Afro-American Literature
African American Studies,AF AMER ,M200G,"Race, Class, and Gender: Constructing Black Womanhood and Black Manhood in America"
African American Studies,AF AMER ,200H,Social Politics of Recent African American Music and Popular Culture
African American Studies,AF AMER ,M202,Critical Theory of African Diaspora
African American Studies,AF AMER ,M211,Seminar: African American Music
African American Studies,AF AMER ,CM213,"Narratives of Justice: Disrupting School-to-Prison Pipeline--Arts, Activism, and Agency"
African American Studies,AF AMER ,CM213B,Legislative Theater for Race and Gender Justice
African American Studies,AF AMER ,CM235A,African American Art before 1900
African American Studies,AF AMER ,CM235B,"African American Art, 1900 to 1963"
African American Studies,AF AMER ,M240,Assessment and Treatment of African American Families
African American Studies,AF AMER ,241,Special Topics in Afro-American Studies
African American Studies,AF AMER ,M256,Topics in African American Art
African American Studies,AF AMER ,270A,Survey of Afro-American Research
African American Studies,AF AMER ,C291,Special Topics in Afro-American Studies
African American Studies,AF AMER ,375,Teaching Apprentice Practicum
African American Studies,AF AMER ,596,Directed Readings and Tutorials
African American Studies,AF AMER ,597,Preparation for MA Comprehensive Examination
African American Studies,AF AMER ,598,Research for and Preparation of MA Thesis
Architecture and Urban Design,ARCH&UD ,1,Introduction to Design
Architecture and Urban Design,ARCH&UD ,10A,History of Architecture and Urban Design: Prehistory to Mannerism
Architecture and Urban Design,ARCH&UD ,10B,History of Architecture and Urban Design: Baroque to Contemporary Moment
Architecture and Urban Design,ARCH&UD ,19,Fiat Lux Freshman Seminars
Architecture and Urban Design,ARCH&UD ,30,Introduction to Architectural Studies
Architecture and Urban Design,ARCH&UD ,89,Honors Seminars
Architecture and Urban Design,ARCH&UD ,99,Student Research Program
Architecture and Urban Design,ARCH&UD ,102,Introduction to Representation
Architecture and Urban Design,ARCH&UD ,103,Introduction to Architectural Design
Architecture and Urban Design,ARCH&UD ,121,Studio I
Architecture and Urban Design,ARCH&UD ,122,Studio II
Architecture and Urban Design,ARCH&UD ,123,Studio III
Architecture and Urban Design,ARCH&UD ,M125B,"Digital Cultural Mapping Core Course B: Google Earth, Geographic Information Systems, Hypercities, and Timelines"
Architecture and Urban Design,ARCH&UD ,M125C,Digital Cultural Mapping Core Course C: Summer Research
Architecture and Urban Design,ARCH&UD ,CM130,Space and Place
Architecture and Urban Design,ARCH&UD ,131,Issues in Contemporary Design
Architecture and Urban Design,ARCH&UD ,132,Domestic Architecture: Critical History
Architecture and Urban Design,ARCH&UD ,133,Modernism and Metropolis
Architecture and Urban Design,ARCH&UD ,141,Technology I: Projections
Architecture and Urban Design,ARCH&UD ,142,Technology II: Building Materials and Methods
Architecture and Urban Design,ARCH&UD ,143,Technology III: Digital Technology
Architecture and Urban Design,ARCH&UD ,CM153,Introduction to Sustainable Architecture and Community Planning
Architecture and Urban Design,ARCH&UD ,188SA,Individual Studies for USIE Facilitators
Architecture and Urban Design,ARCH&UD ,188SB,Individual Studies for USIE Facilitators
Architecture and Urban Design,ARCH&UD ,188SC,Individual Studies for USIE Facilitators
Architecture and Urban Design,ARCH&UD ,189,Advanced Honors Seminars
Architecture and Urban Design,ARCH&UD ,191,Interventions: Urban Humanities in Action (Capstone Studio)
Architecture and Urban Design,ARCH&UD ,199,Directed Research or Senior Project in Architecture and Urban Design
Architecture and Urban Design,ARCH&UD ,M201,Theories of Architecture
Architecture and Urban Design,ARCH&UD ,220,Introduction to Computers
Architecture and Urban Design,ARCH&UD ,226C,Computer Visualization
Architecture and Urban Design,ARCH&UD ,227D,Design and Building Models
Architecture and Urban Design,ARCH&UD ,CM230,Space and Place
Architecture and Urban Design,ARCH&UD ,CM247A,Introduction to Sustainable Architecture and Community Planning
Architecture and Urban Design,ARCH&UD ,M271,Elements of Urban Design  
Architecture and Urban Design,ARCH&UD ,M272,Real Estate Development and Finance
Architecture and Urban Design,ARCH&UD ,286,Roman Architecture and Urbanism
Architecture and Urban Design,ARCH&UD ,288,Renaissance Architecture and Urbanism
Architecture and Urban Design,ARCH&UD ,289,Special Topics in Architecture and Urban Design
Architecture and Urban Design,ARCH&UD ,290,Special Topics in Critical Studies in Architectural Culture
Architecture and Urban Design,ARCH&UD ,291,Theory of Architectural Programming  
Architecture and Urban Design,ARCH&UD ,M293,"Politics, Ideology, and Design"
Architecture and Urban Design,ARCH&UD ,294A,Environmental Psychology  
Architecture and Urban Design,ARCH&UD ,294B,Environmental Psychology  
Architecture and Urban Design,ARCH&UD ,M295,Introduction to Urban Humanities
Architecture and Urban Design,ARCH&UD ,296,Proseminar: Critical Studies in Architectural Culture
Architecture and Urban Design,ARCH&UD ,375,Teaching Apprentice Practicum
Architecture and Urban Design,ARCH&UD ,401,Advanced Topics Studio
Architecture and Urban Design,ARCH&UD ,402,Final Advanced Topics Studio
Architecture and Urban Design,ARCH&UD ,403A,Research Studio
Architecture and Urban Design,ARCH&UD ,403B,Research Studio
Architecture and Urban Design,ARCH&UD ,403C,Research Studio
Architecture and Urban Design,ARCH&UD ,M404,Joint Planning/Architecture Studio
Architecture and Urban Design,ARCH&UD ,411,Introductory Design Studio  
Architecture and Urban Design,ARCH&UD ,412,Building Design Studio  
Architecture and Urban Design,ARCH&UD ,413,Building Design with Landscape Studio  
Architecture and Urban Design,ARCH&UD ,414,Major Building Design Studio
Architecture and Urban Design,ARCH&UD ,415,Comprehensive Studio
Architecture and Urban Design,ARCH&UD ,431,Structures I  
Architecture and Urban Design,ARCH&UD ,432,Structures II  
Architecture and Urban Design,ARCH&UD ,433,Structures III  
Architecture and Urban Design,ARCH&UD ,436,Introduction to Building Construction
Architecture and Urban Design,ARCH&UD ,437,Building Construction
Architecture and Urban Design,ARCH&UD ,441,Environmental Control Systems  
Architecture and Urban Design,ARCH&UD ,442,Building Climatology  
Architecture and Urban Design,ARCH&UD ,461,Architectural Practice  
Architecture and Urban Design,ARCH&UD ,495,"Teaching Architectual History, Theory, and Criticism"
Architecture and Urban Design,ARCH&UD ,496,Special Projects in Architecture  
Architecture and Urban Design,ARCH&UD ,497,Special Projects in Urban Design  
Architecture and Urban Design,ARCH&UD ,498,Comprehensive Examination Seminar
Architecture and Urban Design,ARCH&UD ,501,Cooperative Program  
Architecture and Urban Design,ARCH&UD ,596,Directed Individual Research and Study in Architecture and Urban Design  
Architecture and Urban Design,ARCH&UD ,597,Preparation for Comprehensive Examination or PhD Qualifying Examinations
Architecture and Urban Design,ARCH&UD ,598,Preparation in Architecture/Urban Design for Master's Thesis  
Architecture and Urban Design,ARCH&UD ,599,PhD Dissertation Research in Architecture
African Studies,AFRC ST ,201A,Africa and Disciplines
African Studies,AFRC ST ,201B,Africa and Professions
African Studies,AFRC ST ,296,Africanist Working Group
African Studies,AFRC ST ,375,Teaching Apprentice Practicum
African Studies,AFRC ST ,596,Directed Individual Study or Research
African Studies,AFRC ST ,597,Preparation for MA Comprehensive Examination
African Studies,AFRC ST ,598,Research for and Preparation of MA Thesis
Armenian,ARMENIA ,19,Fiat Lux Freshman Seminars
Armenian,ARMENIA ,89,Honors Seminars
Armenian,ARMENIA ,89HC,Honors Contracts
Armenian,ARMENIA ,99,Student Research Program
Armenian,ARMENIA ,101A,Elementary Modern Western Armenian
Armenian,ARMENIA ,101B,Elementary Modern Western Armenian
Armenian,ARMENIA ,101C,Elementary Modern Western Armenian
Armenian,ARMENIA ,102A,Intermediate Modern Western Armenian
Armenian,ARMENIA ,102B,Intermediate Modern Western Armenian
Armenian,ARMENIA ,102C,Intermediate Modern Western Armenian
Armenian,ARMENIA ,103A,Advanced Modern Western Armenian
Armenian,ARMENIA ,103B,Advanced Modern Western Armenian
Armenian,ARMENIA ,103C,Advanced Modern Western Armenian
Armenian,ARMENIA ,104A,Elementary Modern Eastern Armenian
Armenian,ARMENIA ,104B,Elementary Modern Eastern Armenian
Armenian,ARMENIA ,104C,Elementary Modern Eastern Armenian
Armenian,ARMENIA ,105A,Intermediate Modern Eastern Armenian
Armenian,ARMENIA ,105B,Intermediate Modern Eastern Armenian
Armenian,ARMENIA ,105C,Intermediate Modern Eastern Armenian
Armenian,ARMENIA ,106A,Armenian Society and Culture
Armenian,ARMENIA ,106B,Armenian Society and Culture
Armenian,ARMENIA ,106C,Armenian Society and Culture
Armenian,ARMENIA ,110,History of Armenian Language
Armenian,ARMENIA ,120,Language in Diaspora: Armenian as a Heritage Language
Armenian,ARMENIA ,130,"Armenian Civilization under Bagratid Dynasty, 884 to 1064"
Armenian,ARMENIA ,131,"Armenian Civilization in Cilician Period, 1080 to 1375"
Armenian,ARMENIA ,M134,Introduction to Armenian Music
Armenian,ARMENIA ,150A,Survey of Armenian Literature in English
Armenian,ARMENIA ,C151,Armenian Literature and Canon Formation
Armenian,ARMENIA ,C152,Modern Armenian Drama as Vehicle for Social Critique
Armenian,ARMENIA ,C153,"Art, Politics, and Nationalism in Modern Armenian Literature"
Armenian,ARMENIA ,C155,Issues in Armenian American Literature and Culture
Armenian,ARMENIA ,160A,Armenian Literature of 19th and 20th Centuries
Armenian,ARMENIA ,160B,Armenian Literature of 19th and 20th Centuries
Armenian,ARMENIA ,C166,Armenian Film and Culture
Armenian,ARMENIA ,170,"Armenian Poetry, 1880 to 1930"
Armenian,ARMENIA ,171,Variable Topics in Armenian Studies
Armenian,ARMENIA ,M172,Medieval Armenian Art
Armenian,ARMENIA ,M173,"Armenian Painting, 17th to 20th Century"
Armenian,ARMENIA ,188,Variable Topics in Armenian
Armenian,ARMENIA ,189,Advanced Honors Seminars
Armenian,ARMENIA ,189HC,Honors Contracts
Armenian,ARMENIA ,197,Individual Studies in Armenian
Armenian,ARMENIA ,199,Directed Research or Senior Project in Armenian
Armenian,ARMENIA ,230A,Elementary Classical Armenian
Armenian,ARMENIA ,230B,Elementary Classical Armenian
Armenian,ARMENIA ,230C,Elementary Classical Armenian
Armenian,ARMENIA ,231A,Intermediate Classical Armenian
Armenian,ARMENIA ,231B,Intermediate Classical Armenian
Armenian,ARMENIA ,231C,Intermediate Classical Armenian
Armenian,ARMENIA ,232A,Advanced Classical Armenian
Armenian,ARMENIA ,232B,Advanced Classical Armenian
Armenian,ARMENIA ,232C,Advanced Classical Armenian
Armenian,ARMENIA ,250A,Seminar: Armenian Literature  
Armenian,ARMENIA ,250B,Seminar: Armenian Literature  
Armenian,ARMENIA ,C251,Armenian Literature and Canon Formation
Armenian,ARMENIA ,C252,Modern Armenian Drama as Vehicle for Social Critique
Armenian,ARMENIA ,C253,"Art, Politics, and Nationalism in Modern Armenian Literature"
Armenian,ARMENIA ,C255,Issues in Armenian American Literature and Culture
Armenian,ARMENIA ,C266,Armenian Film and Culture
Armenian,ARMENIA ,596,Directed Individual Study  
Armenian,ARMENIA ,597,Examination Preparation  
Armenian,ARMENIA ,599,PhD Dissertation Research and Preparation
Afrikaans,AFRKAAN ,19,Fiat Lux Freshman Seminars
Afrikaans,AFRKAAN ,40,From Oppressed to Oppressor and Beyond: Literature in Afrikaans from Preapartheid to Postapartheid Era in English Translation
Afrikaans,AFRKAAN ,89,Honors Seminars
Afrikaans,AFRKAAN ,89HC,Honors Contracts
Afrikaans,AFRKAAN ,99,Student Research Program
Afrikaans,AFRKAAN ,105A,Elementary Afrikaans  
Afrikaans,AFRKAAN ,105B,Intermediate Afrikaans  
Afrikaans,AFRKAAN ,135,Introduction to Afrikaans Literature  
Afrikaans,AFRKAAN ,189,Advanced Honors Seminars
Afrikaans,AFRKAAN ,189HC,Honors Contracts
Afrikaans,AFRKAAN ,199,Directed Research or Senior Project in Afrikaans
Afrikaans,AFRKAAN ,596,Directed Individual Study or Research in Afrikaans  
Afrikaans,AFRKAAN ,597,Preparation for PhD Qualifying Examinations
Art ,,1A,Drawing  
Art ,,1B,Sculpture  
Art ,,11A,Painting  
Art ,,11B,Photography  
Art ,,11C,Printmaking  
Art ,,11D,New Genres  
Art ,,11E,Ceramics
Art ,,19,Fiat Lux Freshman Seminars
Art ,,20,Production
Art ,,21A,Production: Photographic Print
Art ,,21B,Production: Moving Image and Sound
Art ,,31A,Rise of Modernism in Global Context
Art ,,31B,Global Modernism
Art ,,31C,Modernism and Its Discontents
Art ,,70,Summer Art Institute: Special Topics in Studio
Art ,,89,Honors Seminars
Art ,,98T,"Performance, Politics, Pedagogy"
Art ,,99,Student Research Program
Art ,,100,Issues in Contemporary Art
Art ,,130,Advanced Drawing  
Art ,,132,Survey of Critical Thought
Art ,,133,Advanced Painting  
Art ,,137,Advanced New Genres
Art ,,140,Advanced Printmaking  
Art ,,145,Advanced Sculpture  
Art ,,147,Advanced Photography  
Art ,,148,Advanced Ceramics
Art ,,150,Senior Studio  
Art ,,170,Special Topics in Studio
Art ,,C180,Seminar: Art
Art ,,C181,Exhibition and System
Art ,,C182,Exhibitions and Public Programs
Art ,,C183,Special Topics in Art
Art ,,M184,Chicana Art and Artists
Art ,,M185,Whose Monument Where: Course on Public Art
Art ,,M186A,Beyond Mexican Mural: Beginning Muralism and Community Development
Art ,,M186AL,Beyond Mexican Mural: Beginning Muralism and Community Laboratory
Art ,,M186B,Beyond Mexican Mural: Intermediate Muralism and Community Development
Art ,,M186BL,Beyond Mexican Mural: Intermediate Muralism and Community Laboratory
Art ,,M186C,Beyond Mexican Mural: Advanced Muralism and Community Development
Art ,,M186CL,Beyond Mexican Mural: Advanced Muralism and Community Laboratory
Art ,,C187,Contemporary Art Collections in Los Angeles
Art ,,188SA,Individual Studies for USIE Facilitators
Art ,,188SB,Individual Studies for USIE Facilitators
Art ,,188SC,Individual Studies for USIE Facilitators
Art ,,189,Advanced Honors Seminars
Art ,,190,Studio/Research Colloquia in Art
Art ,,193,Journal Club Seminars: Current Topics in Art
Art ,,195,Community Internships in Art
Art ,,197,Individual Studies in Art
Art ,,198,Honors Research in Art
Art ,,271,Graduate Painting
Art ,,272,Graduate Printmaking
Art ,,273,Graduate Sculpture
Art ,,274,Graduate Photography
Art ,,275,Graduate New Genres
Art ,,276,Graduate Group Critique
Art ,,277,Graduate Ceramics
Art ,,278,Interdisciplinary Studio
Art ,,279,Open Area Studio
Art ,,C280,Seminar: Art
Art ,,C281,Exhibition and System
Art ,,C282,Exhibitions and Public Programs
Art ,,C283,Special Topics in Art
Art ,,C287,Contemporary Art Collections in Los Angeles
Art ,,375,Teaching Apprentice Practicum
Art ,,400A,Visiting Artists Studio
Art ,,400B,Visiting Artists Studio
Art ,,400C,Visiting Artists Studio
Art ,,401,MFA Working Groups
Art ,,495,Teaching Assistant Training Practicum
Art ,,501,Cooperative Program  
Art ,,596,Directed Individual Study or Research
Art ,,597,Preparation for Master's Comprehensive Examination
American Indian Studies,AM IND ,M10,Introduction to American Indian Studies
American Indian Studies,AM IND ,M18,Leadership and Student-Initiated Retention
American Indian Studies,AM IND ,19,Fiat Lux Freshman Seminars
American Indian Studies,AM IND ,89,Honors Seminars
American Indian Studies,AM IND ,89HC,Honors Contracts
American Indian Studies,AM IND ,99,Student Research Program
American Indian Studies,AM IND ,M118,Student-Initiated Retention and Outreach Issues in Higher Education
American Indian Studies,AM IND ,C120,Working in Tribal Communities: Introduction
American Indian Studies,AM IND ,C121,Working in Tribal Communities: Preparing for Fieldwork
American Indian Studies,AM IND ,C122SL,Working in Tribal Communities: Service Learning
American Indian Studies,AM IND ,C122XP,Working in Tribal Communities: Community-Engaged Learning
American Indian Studies,AM IND ,M123,Afro-Indigenous History: from Enslavement and Settlement to Black Lives Matter and Indigenous Sovereignty
American Indian Studies,AM IND ,C130,California Indian Strategies for Contemporary Challenges
American Indian Studies,AM IND ,140,Federal Indian Law and Policy
American Indian Studies,AM IND ,C145,Contemporary Indigenous Nations
American Indian Studies,AM IND ,158,Nation Building
American Indian Studies,AM IND ,M161,Comparative American Indian Societies  
American Indian Studies,AM IND ,M162,Language Endangerment and Linguistic Revitalization
American Indian Studies,AM IND ,CM168,Healthcare for American Indians
American Indian Studies,AM IND ,C170,California Indian History
American Indian Studies,AM IND ,C175,Cultures of Native Southern California
American Indian Studies,AM IND ,C178,California Experiences in Native Cultural Resource Management
American Indian Studies,AM IND ,180,Introduction to and Practicum in Native American Languages
American Indian Studies,AM IND ,M186,Indigenous Film
American Indian Studies,AM IND ,187,Special Topics in American Indian Studies  
American Indian Studies,AM IND ,M187A,Special Topics in American Indian and Gender Studies
American Indian Studies,AM IND ,189,Advanced Honors Seminars
American Indian Studies,AM IND ,189HC,Honors Contracts
American Indian Studies,AM IND ,195,Community Internships in American Indian Studies
American Indian Studies,AM IND ,M195CE,Comparative Approaches to Community and Corporate Internships
American Indian Studies,AM IND ,197,Individual Studies in American Indian Studies
American Indian Studies,AM IND ,198A,Honors Research in American Indian Studies
American Indian Studies,AM IND ,198B,Honors Research in American Indian Studies
American Indian Studies,AM IND ,198C,Honors Research in American Indian Studies
American Indian Studies,AM IND ,199,Directed Research or Senior Project in American Indian Studies
American Indian Studies,AM IND ,199C,Individual Studies: Capstone Synthesis
American Indian Studies,AM IND ,M200A,Advanced Historiography: American Indian Peoples
American Indian Studies,AM IND ,M200B,Cultural World Views of Native America
American Indian Studies,AM IND ,M200C,Contemporary Issues of American Indians
American Indian Studies,AM IND ,201,Introduction to Interdisciplinary Methods in American Indian and Indigenous Studies
American Indian Studies,AM IND ,202,Key Theories and Concepts in American Indian Studies
American Indian Studies,AM IND ,M207,Economic Principles and Economic Development in Indigenous Communities
American Indian Studies,AM IND ,M208,Native American Languages and Discourses of Indigeneity
American Indian Studies,AM IND ,C220,Working in Tribal Communities: Introduction
American Indian Studies,AM IND ,C221,Working in Tribal Communities: Preparing for Fieldwork
American Indian Studies,AM IND ,C222SL,Working in Tribal Communities: Service Learning
American Indian Studies,AM IND ,C222XP,Working in Tribal Communities: Community-Engaged Learning
American Indian Studies,AM IND ,228A,Tribal Legal Systems
American Indian Studies,AM IND ,228B,Tribal Legal Systems
American Indian Studies,AM IND ,C230,California Indian Strategies for Contemporary Challenges
American Indian Studies,AM IND ,238A,Tribal Legal Development Clinic
American Indian Studies,AM IND ,238B,Tribal Legal Development Clinic
American Indian Studies,AM IND ,C245,Contemporary Indigenous Nations
American Indian Studies,AM IND ,261,Comparative Indigenous Societies
American Indian Studies,AM IND ,265,Federal Indian Law I
American Indian Studies,AM IND ,M265A,Federal Indian Law I
American Indian Studies,AM IND ,265B,Federal Indian Law I
American Indian Studies,AM IND ,M267,Federal Indian Law II
American Indian Studies,AM IND ,M267A,Federal Indian Law II
American Indian Studies,AM IND ,267B,Federal Indian Law II
American Indian Studies,AM IND ,C268,Healthcare for American Indians
American Indian Studies,AM IND ,C270,California Indian History
American Indian Studies,AM IND ,M272,Seminar: Cultural Property Law
American Indian Studies,AM IND ,274,Good Native Governance
American Indian Studies,AM IND ,C275,Cultures of Native Southern California
American Indian Studies,AM IND ,C278,California Experiences in Native Cultural Resource Management
American Indian Studies,AM IND ,375,Teaching Apprentice Practicum
